"name","codes","stn_id"
"Admiralty","NS10","ba"
"Aljunied","EW9","if"
"Ang Mo Kio","NS16","vs"
"Bakau","SE3","cl"
"Bangkit","BP9","id"
"Bartley","CC12","dg"
"Bayfront","CE1/DT16","aj"
"Beauty World","DT5","dd"
"Bedok","EW5","uo"
"Bedok North","DT29","bv"
"Bedok Reservoir","DT30","gc"
"Bencoolen","DT21","ji"
"Bendemeer","DT23","yg"
"Bishan","CC15/NS17","da"
"Boon Keng","NE9","na"
"Boon Lay","EW27","fk"
"Botanic Gardens","CC19/DT9","np"
"Braddell","NS18","xf"
"Bras Basah","CC2","ru"
"Buangkok","NE15","qa"
"Bugis","DT14/EW12","fr"
"Bukit Batok","NS2","lt"
"Bukit Gombak","NS3","lz"
"Bukit Panjang","BP6/DT1","cy"
"Buona Vista","CC22/EW21","ao"
"Caldecott","CC17","ym"
"Canberra","NS12","hw"
"Cashew","DT2","vi"
"Changi Airport","CG2","ie"
"Cheng Lim","SW1","hq"
"Chinatown","DT19/NE4","oy"
"Chinese Garden","EW25","in"
"Choa Chu Kang","BP1/NS4","gz"
"City Hall","EW13/NS25","ne"
"Clarke Quay","NE5","ef"
"Clementi","EW23","yy"
"Commonwealth","EW20","ew"
"Compassvale","SE1","yc"
"Coral Edge","PE3","pb"
"Cove","PE1","xi"
"Dakota","CC8","xz"
"Damai","PE7","kt"
"Dhoby Ghaut","CC1/NE6/NS24","xx"
"Dover","EW22","pr"
"Downtown","DT17","va"
"Esplanade","CC3","lb"
"Eunos","EW7","nb"
"Expo","CG1/DT35","jt"
"Fajar","BP10","eb"
"Farmway","SW2","al"
"Farrer Park","NE8","ss"
"Farrer Road","CC20","py"
"Fernvale","SW5","uf"
"Fort Canning","DT20","oz"
"Geylang Bahru","DT24","tx"
"Gul Circle","EW30","er"
"HarbourFront","CC29/NE1","fv"
"Haw Par Villa","CC25","ty"
"Hillview","DT3","yv"
"Holland Village","CC21","rn"
"Hougang","NE14","de"
"Jalan Besar","DT22","fp"
"Jelapang","BP12","uc"
"Joo Koon","EW29","ph"
"Jurong East","EW24/NS1","we"
"Kadaloor","PE5","kr"
"Kaki Bukit","DT28","mg"
"Kallang","EW10","gj"
"Kangkar","SE4","hm"
"Keat Hong","BP3","hr"
"Kembangan","EW6","bn"
"Kent Ridge","CC24","oa"
"Khatib","NS14","mi"
"King Albert Park","DT6","df"
"Kovan","NE13","gs"
"Kranji","NS7","fa"
"Kupang","SW3","xt"
"Labrador Park","CC27","re"
"Lakeside","EW26","qn"
"Lavender","EW11","ql"
"Layar","SW6","pd"
"Little India","DT12/NE7","ct"
"Lorong Chuan","CC14","to"
"MacPherson","CC10/DT26","kz"
"Marina Bay","CE2/NS27","vv"
"Marina South Pier","NS28","ry"
"Marsiling","NS8","ex"
"Marymount","CC16","ua"
"Mattar","DT25","sd"
"Meridian","PE2","jk"
"Mountbatten","CC7","xh"
"Newton","DT11/NS21","ko"
"Nibong","PW5","gv"
"Nicoll Highway","CC5","kb"
"Novena","NS20","fz"
"Oasis","PE6","xr"
"one-north","CC23","uy"
"Orchard","NS22","eo"
"Outram Park","EW16/NE3","om"
"Pasir Panjang","CC26","av"
"Pasir Ris","EW1","cw"
"Paya Lebar","CC9/EW8","gu"
"Pending","BP8","th"
"Petir","BP7","wl"
"Phoenix","BP5","jw"
"Pioneer","EW28","ns"
"Potong Pasir","NE10","hj"
"Promenade","CC4/DT15","ug"
"Punggol","NE17/PTC","nz"
"Punggol Point","PW3","fo"
"Queenstown","EW19","vc"
"Raffles Place","EW14/NS26","tv"
"Ranggung","SE5","zl"
"Redhill","EW18","ip"
"Renjong","SW8","fq"
"Riviera","PE4","ab"
"Rochor","DT13","lf"
"Rumbia","SE2","cd"
"Sam Kee","PW1","dk"
"Samudera","PW4","lk"
"Segar","BP11","xn"
"Sembawang","NS11","mh"
"Sengkang","NE16/STC","jy"
"Senja","BP13","gg"
"Serangoon","CC13/NE12","ub"
"Simei","EW3","ul"
"Sixth Avenue","DT7","sf"
"Somerset","NS23","lw"
"Soo Teck","PW7","yz"
"South View","BP2","vj"
"Stadium","CC6","xb"
"Stevens","DT10","vu"
"Sumang","PW6","vr"
"Tai Seng","CC11","cs"
"Tampines","DT32/EW2","us"
"Tampines East","DT33","tq"
"Tampines West","DT31","hb"
"Tan Kah Kee","DT8","te"
"Tanah Merah","EW4","aa"
"Tanjong Pagar","EW15","rd"
"Teck Whye","BP4","qv"
"Telok Ayer","DT18","ar"
"Telok Blangah","CC28","bl"
"Thanggam","SW4","hh"
"Tiong Bahru","EW17","pu"
"Toa Payoh","NS19","sj"
"Tongkang","SW7","pf"
"Tuas Crescent","EW31","ho"
"Tuas Link","EW33","rj"
"Tuas West Road","EW32","ue"
"Ubi","DT27","dj"
"Upper Changi","DT34","dv"
"Woodlands","NS9","xa"
"Woodleigh","NE11","cm"
"Yew Tee","NS5","yl"
"Yio Chu Kang","NS15","he"
"Yishun","NS13","sq"
